sensor,buoy,depth,day_of_year,month,temperature
Niagara_Bottom,Niagara,Bottom,1,January,3.808333333333333
Niagara_Bottom,Niagara,Bottom,2,January,3.8041666666666667
Niagara_Bottom,Niagara,Bottom,3,January,3.7625
Niagara_Bottom,Niagara,Bottom,4,January,3.55625
Niagara_Bottom,Niagara,Bottom,5,January,3.1791666666666667
Niagara_Bottom,Niagara,Bottom,6,January,3.189583333333333
Niagara_Bottom,Niagara,Bottom,7,January,3.2270833333333333
Niagara_Bottom,Niagara,Bottom,8,January,3.285416666666667
Niagara_Bottom,Niagara,Bottom,9,January,3.314583333333333
Niagara_Bottom,Niagara,Bottom,10,January,3.45625
Niagara_Bottom,Niagara,Bottom,11,January,3.441666666666667
Niagara_Bottom,Niagara,Bottom,12,January,3.2916666666666665
Niagara_Bottom,Niagara,Bottom,13,January,3.26875
Niagara_Bottom,Niagara,Bottom,14,January,3.525
Niagara_Bottom,Niagara,Bottom,15,January,3.247916666666667
Niagara_Bottom,Niagara,Bottom,16,January,3.339583333333333
Niagara_Bottom,Niagara,Bottom,17,January,3.395833333333333
Niagara_Bottom,Niagara,Bottom,18,January,3.3583333333333334
Niagara_Bottom,Niagara,Bottom,19,January,3.2708333333333335
Niagara_Bottom,Niagara,Bottom,20,January,2.9958333333333336
Niagara_Bottom,Niagara,Bottom,21,January,3.072916666666667
Niagara_Bottom,Niagara,Bottom,22,January,2.7604166666666665
Niagara_Bottom,Niagara,Bottom,23,January,3.004166666666667
Niagara_Bottom,Niagara,Bottom,24,January,3.0833333333333335
Niagara_Bottom,Niagara,Bottom,25,January,3.1666666666666665
Niagara_Bottom,Niagara,Bottom,26,January,2.9770833333333333
Niagara_Bottom,Niagara,Bottom,27,January,2.9458333333333333
Niagara_Bottom,Niagara,Bottom,28,January,2.94375
Niagara_Bottom,Niagara,Bottom,29,January,2.939583333333333
Niagara_Bottom,Niagara,Bottom,30,January,2.975
Niagara_Bottom,Niagara,Bottom,31,January,2.9458333333333333
Niagara_Bottom,Niagara,Bottom,32,February,2.9104166666666664
Niagara_Bottom,Niagara,Bottom,33,February,2.9145833333333333
Niagara_Bottom,Niagara,Bottom,34,February,3.0229166666666667
Niagara_Bottom,Niagara,Bottom,35,February,2.76875
Niagara_Bottom,Niagara,Bottom,36,February,2.70625
Niagara_Bottom,Niagara,Bottom,37,February,2.9625
Niagara_Bottom,Niagara,Bottom,38,February,3.0250000000000004
Niagara_Bottom,Niagara,Bottom,39,February,3.0229166666666667
Niagara_Bottom,Niagara,Bottom,40,February,3.1375
Niagara_Bottom,Niagara,Bottom,41,February,3.03125
Niagara_Bottom,Niagara,Bottom,42,February,2.8604166666666666
Niagara_Bottom,Niagara,Bottom,43,February,2.8041666666666667
Niagara_Bottom,Niagara,Bottom,44,February,2.8187499999999996
Niagara_Bottom,Niagara,Bottom,45,February,2.8666666666666667
Niagara_Bottom,Niagara,Bottom,46,February,2.9270833333333335
Niagara_Bottom,Niagara,Bottom,47,February,2.9125
Niagara_Bottom,Niagara,Bottom,48,February,3.03125
Niagara_Bottom,Niagara,Bottom,49,February,3.060416666666667
Niagara_Bottom,Niagara,Bottom,50,February,3.0395833333333333
Niagara_Bottom,Niagara,Bottom,51,February,3.075
Niagara_Bottom,Niagara,Bottom,52,February,3.1395833333333334
Niagara_Bottom,Niagara,Bottom,53,February,3.097916666666667
Niagara_Bottom,Niagara,Bottom,54,February,3.0208333333333335
Niagara_Bottom,Niagara,Bottom,55,February,2.9625
Niagara_Bottom,Niagara,Bottom,56,February,2.908333333333333
Niagara_Bottom,Niagara,Bottom,57,February,2.79375
Niagara_Bottom,Niagara,Bottom,58,February,2.827083333333333
Niagara_Bottom,Niagara,Bottom,59,February,2.7416666666666667
Niagara_Bottom,Niagara,Bottom,60,February,2.8541666666666665
Niagara_Bottom,Niagara,Bottom,60,March,2.4333333333333336
Niagara_Bottom,Niagara,Bottom,61,March,2.7875
Niagara_Bottom,Niagara,Bottom,62,March,2.791666666666667
Niagara_Bottom,Niagara,Bottom,63,March,2.775
Niagara_Bottom,Niagara,Bottom,64,March,2.83125
Niagara_Bottom,Niagara,Bottom,65,March,3.0166666666666666
Niagara_Bottom,Niagara,Bottom,66,March,2.9104166666666664
Niagara_Bottom,Niagara,Bottom,67,March,2.79375
Niagara_Bottom,Niagara,Bottom,68,March,2.7395833333333335
Niagara_Bottom,Niagara,Bottom,69,March,2.7666666666666666
Niagara_Bottom,Niagara,Bottom,70,March,2.7416666666666663
Niagara_Bottom,Niagara,Bottom,71,March,2.741666666666667
Niagara_Bottom,Niagara,Bottom,72,March,2.7083333333333335
Niagara_Bottom,Niagara,Bottom,73,March,2.6895833333333337
Niagara_Bottom,Niagara,Bottom,74,March,2.6375
Niagara_Bottom,Niagara,Bottom,75,March,2.6083333333333334
Niagara_Bottom,Niagara,Bottom,76,March,2.7104166666666663
Niagara_Bottom,Niagara,Bottom,77,March,2.785416666666667
Niagara_Bottom,Niagara,Bottom,78,March,2.879166666666667
Niagara_Bottom,Niagara,Bottom,79,March,2.858333333333333
Niagara_Bottom,Niagara,Bottom,80,March,2.895833333333333
Niagara_Bottom,Niagara,Bottom,81,March,2.9479166666666665
Niagara_Bottom,Niagara,Bottom,82,March,2.95
Niagara_Bottom,Niagara,Bottom,83,March,2.9270833333333335
Niagara_Bottom,Niagara,Bottom,84,March,2.935416666666667
Niagara_Bottom,Niagara,Bottom,85,March,2.9125
Niagara_Bottom,Niagara,Bottom,86,March,2.960416666666667
Niagara_Bottom,Niagara,Bottom,87,March,3.075
Niagara_Bottom,Niagara,Bottom,88,March,2.879166666666667
Niagara_Bottom,Niagara,Bottom,89,March,2.9645833333333336
Niagara_Bottom,Niagara,Bottom,90,March,3.0854166666666667
Niagara_Bottom,Niagara,Bottom,91,March,3.3
Niagara_Bottom,Niagara,Bottom,91,April,2.779166666666667
Niagara_Bottom,Niagara,Bottom,92,April,3.0812500000000003
Niagara_Bottom,Niagara,Bottom,93,April,3.2270833333333333
Niagara_Bottom,Niagara,Bottom,94,April,3.2354166666666666
Niagara_Bottom,Niagara,Bottom,95,April,3.2833333333333337
Niagara_Bottom,Niagara,Bottom,96,April,3.5
Niagara_Bottom,Niagara,Bottom,97,April,3.50625
Niagara_Bottom,Niagara,Bottom,98,April,3.435416666666667
Niagara_Bottom,Niagara,Bottom,99,April,3.4416666666666664
Niagara_Bottom,Niagara,Bottom,100,April,3.433333333333333
Niagara_Bottom,Niagara,Bottom,101,April,3.4437499999999996
Niagara_Bottom,Niagara,Bottom,102,April,3.4812499999999997
Niagara_Bottom,Niagara,Bottom,103,April,3.510416666666667
Niagara_Bottom,Niagara,Bottom,104,April,3.70625
Niagara_Bottom,Niagara,Bottom,105,April,3.8166666666666664
Niagara_Bottom,Niagara,Bottom,106,April,3.8
Niagara_Bottom,Niagara,Bottom,107,April,3.75
Niagara_Bottom,Niagara,Bottom,108,April,3.875
Niagara_Bottom,Niagara,Bottom,109,April,3.95
Niagara_Bottom,Niagara,Bottom,110,April,3.9145833333333337
Niagara_Bottom,Niagara,Bottom,111,April,3.910416666666667
Niagara_Bottom,Niagara,Bottom,112,April,4.0625
Niagara_Bottom,Niagara,Bottom,113,April,3.9583333333333335
Niagara_Bottom,Niagara,Bottom,114,April,3.954166666666667
Niagara_Bottom,Niagara,Bottom,115,April,4.047916666666667
Niagara_Bottom,Niagara,Bottom,116,April,4.058333333333334
Niagara_Bottom,Niagara,Bottom,117,April,4.014583333333333
Niagara_Bottom,Niagara,Bottom,118,April,3.90625
Niagara_Bottom,Niagara,Bottom,119,April,4.00625
Niagara_Bottom,Niagara,Bottom,120,April,3.9854166666666666
Niagara_Bottom,Niagara,Bottom,121,April,4.225
Niagara_Bottom,Niagara,Bottom,121,May,3.7416666666666667
Niagara_Bottom,Niagara,Bottom,122,May,4.220833333333333
Niagara_Bottom,Niagara,Bottom,123,May,4.483333333333333
Niagara_Bottom,Niagara,Bottom,124,May,4.75625
Niagara_Bottom,Niagara,Bottom,125,May,4.589583333333334
Niagara_Bottom,Niagara,Bottom,126,May,4.583333333333333
Niagara_Bottom,Niagara,Bottom,127,May,4.572916666666667
Niagara_Bottom,Niagara,Bottom,128,May,4.56875
Niagara_Bottom,Niagara,Bottom,129,May,4.560416666666667
Niagara_Bottom,Niagara,Bottom,130,May,4.583333333333333
Niagara_Bottom,Niagara,Bottom,131,May,4.620833333333334
Niagara_Bottom,Niagara,Bottom,132,May,4.466666666666667
Niagara_Bottom,Niagara,Bottom,133,May,4.15
Niagara_Bottom,Niagara,Bottom,134,May,4.1125
Niagara_Bottom,Niagara,Bottom,135,May,4.1187499999999995
Niagara_Bottom,Niagara,Bottom,136,May,4.108333333333333
Niagara_Bottom,Niagara,Bottom,137,May,4.191666666666666
Niagara_Bottom,Niagara,Bottom,138,May,4.141666666666667
Niagara_Bottom,Niagara,Bottom,139,May,4.058333333333334
Niagara_Bottom,Niagara,Bottom,140,May,4.133333333333333
Niagara_Bottom,Niagara,Bottom,141,May,4.1937500000000005
Niagara_Bottom,Niagara,Bottom,142,May,4.297916666666667
Niagara_Bottom,Niagara,Bottom,143,May,4.277083333333334
Niagara_Bottom,Niagara,Bottom,144,May,4.262499999999999
Niagara_Bottom,Niagara,Bottom,145,May,4.235416666666667
Niagara_Bottom,Niagara,Bottom,146,May,4.1729166666666675
Niagara_Bottom,Niagara,Bottom,147,May,4.097916666666666
Niagara_Bottom,Niagara,Bottom,148,May,4.089583333333333
Niagara_Bottom,Niagara,Bottom,149,May,4.0874999999999995
Niagara_Bottom,Niagara,Bottom,150,May,4.066666666666666
Niagara_Bottom,Niagara,Bottom,151,May,4.04375
Niagara_Bottom,Niagara,Bottom,152,May,4.404166666666667
Niagara_Bottom,Niagara,Bottom,152,June,3.6583333333333337
Niagara_Bottom,Niagara,Bottom,153,June,4.075
Niagara_Bottom,Niagara,Bottom,154,June,4.041666666666667
Niagara_Bottom,Niagara,Bottom,155,June,4.022916666666667
Niagara_Bottom,Niagara,Bottom,156,June,3.9416666666666664
Niagara_Bottom,Niagara,Bottom,157,June,3.997916666666667
Niagara_Bottom,Niagara,Bottom,158,June,3.99375
Niagara_Bottom,Niagara,Bottom,159,June,3.96875
Niagara_Bottom,Niagara,Bottom,160,June,4.24375
Niagara_Bottom,Niagara,Bottom,161,June,4.141666666666667
Niagara_Bottom,Niagara,Bottom,162,June,3.9562500000000003
Niagara_Bottom,Niagara,Bottom,163,June,3.970833333333333
Niagara_Bottom,Niagara,Bottom,164,June,4
Niagara_Bottom,Niagara,Bottom,165,June,3.9916666666666667
Niagara_Bottom,Niagara,Bottom,166,June,3.9166666666666665
Niagara_Bottom,Niagara,Bottom,167,June,3.9
Niagara_Bottom,Niagara,Bottom,168,June,3.9
Niagara_Bottom,Niagara,Bottom,169,June,3.8979166666666663
Niagara_Bottom,Niagara,Bottom,170,June,3.9187499999999997
Niagara_Bottom,Niagara,Bottom,171,June,4.01875
Niagara_Bottom,Niagara,Bottom,172,June,4.102083333333333
Niagara_Bottom,Niagara,Bottom,173,June,4.231249999999999
Niagara_Bottom,Niagara,Bottom,174,June,4.089583333333334
Niagara_Bottom,Niagara,Bottom,175,June,4.1375
Niagara_Bottom,Niagara,Bottom,176,June,4.291666666666667
Niagara_Bottom,Niagara,Bottom,177,June,4.310416666666667
Niagara_Bottom,Niagara,Bottom,178,June,4.289583333333334
Niagara_Bottom,Niagara,Bottom,179,June,4.2625
Niagara_Bottom,Niagara,Bottom,180,June,4.222916666666666
Niagara_Bottom,Niagara,Bottom,181,June,4.1625000000000005
Niagara_Bottom,Niagara,Bottom,182,June,4.441666666666666
Niagara_Bottom,Niagara,Bottom,182,July,3.9
Niagara_Bottom,Niagara,Bottom,183,July,4.220833333333333
Niagara_Bottom,Niagara,Bottom,184,July,4.125
Niagara_Bottom,Niagara,Bottom,185,July,4.18125
Niagara_Bottom,Niagara,Bottom,186,July,4.122916666666667
Niagara_Bottom,Niagara,Bottom,187,July,4.179166666666666
Niagara_Bottom,Niagara,Bottom,188,July,4.247916666666667
Niagara_Bottom,Niagara,Bottom,189,July,4.272916666666666
Niagara_Bottom,Niagara,Bottom,190,July,4.402083333333334
Niagara_Bottom,Niagara,Bottom,191,July,4.36875
Niagara_Bottom,Niagara,Bottom,192,July,4.304166666666666
Niagara_Bottom,Niagara,Bottom,193,July,4.295833333333333
Niagara_Bottom,Niagara,Bottom,194,July,4.279166666666667
Niagara_Bottom,Niagara,Bottom,195,July,4.002083333333333
Niagara_Bottom,Niagara,Bottom,196,July,4.116666666666667
Niagara_Bottom,Niagara,Bottom,197,July,4.183333333333333
Niagara_Bottom,Niagara,Bottom,198,July,4.1125
Niagara_Bottom,Niagara,Bottom,199,July,4.175
Niagara_Bottom,Niagara,Bottom,200,July,4.214583333333334
Niagara_Bottom,Niagara,Bottom,201,July,4.210416666666666
Niagara_Bottom,Niagara,Bottom,202,July,4.254166666666666
Niagara_Bottom,Niagara,Bottom,203,July,4.322916666666667
Niagara_Bottom,Niagara,Bottom,204,July,4.30625
Niagara_Bottom,Niagara,Bottom,205,July,4.20625
Niagara_Bottom,Niagara,Bottom,206,July,4.183333333333334
Niagara_Bottom,Niagara,Bottom,207,July,4.214583333333334
Niagara_Bottom,Niagara,Bottom,208,July,4.204166666666667
Niagara_Bottom,Niagara,Bottom,209,July,4.272916666666666
